out_column,out_abbreviation,out_long
cvdth_hfhosp_status,CVM/HFH,CV mortality/HF hospitalization
cvdth_status,CVM,CV mortality
hfhosp_status,HFH,HF hospitalization
dth_cvhosp_status,ACM/CVH,All-cause mortality/CV hospitalization
dth_status,ACM,All-cause mortality
hosp_status,ACH,All-cause hospitalization
cvhosp_status,CVH,CV hospitalization
noncvdth_status,Non-CVM,Non-CV mortality
noncvhosp_status,Non-CVH,Non-CV hospitalization
los,"LOS, days","Length of stay, days"
inhosp_dth_status,In-hospital death,In-hospital mortality
wt_kg_bl_1d,"Wt. change, day 0 to 1, kg","Weight change, day 0 to 1, kg"
wt_kg_bl_2d,"Wt. change, day 0 to 2, kg","Weight change, day 0 to 2, kg"
wt_kg_bl_3d,"Wt. change, day 0 to 3, kg","Weight change, day 0 to 3, kg"
wt_kg_bl_last,"Wt. change, day 0 to final, kg","Weight change, day 0 to final, kg"
I(io_total_1d/1000),"Net I/O day 1, L","Net I/O day 1, L"
I(io_total_2d/1000),"Net I/O day 2, L","Net I/O day 2, L"
I(io_total_3d/1000),"Net I/O day 3, L","Net I/O day 3, L"
gfr_bl_1d_pct,"GFR change, day 0 to 1, %","GFR, day 0 to 1, %"
gfr_bl_3d_pct,"GFR change, day 0 to 3, %","GFR, day 0 to 3, %"
vas_global_bl_1d,"Global VAS change, day 0 to 1","Global VAS, day 0 to 1"
vas_global_bl_2d,"Global VAS change, day 0 to 2","Global VAS, day 0 to 2"
vas_global_bl_3d,"Global VAS, day 0 to 3","Global VAS, day 0 to 3"
vas_dyspnea_bl_1d,"Dyspnea VAS change, day 0 to 1","Dyspnea VAS, day 0 to 1"
vas_dyspnea_bl_2d,"Dyspnea VAS change, day 0 to 2","Dyspnea VAS, day 0 to 2"
vas_dyspnea_bl_3d,"Dyspnea VAS change, day 0 to 3","Dyspnea VAS, day 0 to 3"
sixmw_dist_m,"6MW, m","6 minute walk, baseline"
six_mw_dist_m,"6MW, m","6 minute walk, baseline"
six_mw_distm_bl,"6MW, baseline, m","6 minute walk, baseline, m"
six_mw_distm_12w,"6MW, 12 weeks, m","6 minute walk, 12 weeks, m"
six_mw_distm_52w,"6MW, 52 weeks, m","6 minute walk, 52 weeks, m"
six_mw_distm_final,"6MW final, m","6 minute walk, final visit, m"
six_mw_distm_bl_12w,"6MW change, bl to 12w, m","Change in six minute walk, baseline to 12 weeks, m"
six_mw_distm_bl_24w,"6MW change, bl to 24w, m","Change in six minute walk, baseline to 24 weeks, m"
six_mw_distm_bl_52w,"6MW change, bl to 52w, m","Change in six minute walk, baseline to 52 weeks, m"
six_mw_distm_bl_final,"6MW change, bl to final, m","Change in six minute walk, baseline to final visit, m"
hr_bl_12w,"HR change, bl to 12w, bpm","Change in heart rate, baseline to 12 weeks, bpm"
hr_bl_52w,"HR change, bl to 52w, bpm","Change in heart rate, baseline to 52 weeks, bpm"
hr_bl_final,"HR change, bl to final, bpm","Change in heart rate, baseline to final visit, bpm"
sbp_bl_12w,"SBP change, bl to 12w, mm Hg","Change in systolic BP, baseline to 12 weeks, mm Hg"
sbp_bl_52w,"SBP change, bl to 52w, mm Hg","Change in systolic BP, baseline to 52 weeks, mm Hg"
sbp_bl_final,"SBP change, bl to final, mm Hg","Change in systolic BP, baseline to final visit, mm Hg"
dbp_bl_12w,"DBP change, bl to 12w, mm Hg","Change in diastolic BP, baseline to 12 weeks, mm Hg"
dbp_bl_52w,"DBP change, bl to 52w, mm Hg","Change in diastolic BP, baseline to 52 weeks, mm Hg"
dbp_bl_final,"DBP change, bl to final, mm Hg","Change in diastolic BP, baseline to final visit, mm Hg"
weight_bl_12w_kg,"Wt. change, bl to 12w, kg","Change in weight, baseline to 12 weeks, kg"
weight_bl_52w_kg,"Wt. change, bl to 52w, kg","Change in weight, baseline to 52 weeks, kg"
weight_bl_final_kg,"Wt. change, bl to final, kg","Change in weight, baseline to final visit, kg"
ef_bl_12w,"EF change, bl to 12w, %","Change in ejection fraction, baseline to 12 weeks, %"
ef_bl_52w,"EF change, bl to 52w, %","Change in ejection fraction, baseline to 52 weeks, %"
ef_bl_final,"EF change, bl to final visit, %","Change in ejection fraction, baseline to final, %"
age_cat,"Age, yrs","Age, urs"
age_val,"Age, yrs","Age, yrs"
ahf_profile,AHF profile,Acute HF profile
etoh,EtOH,Alcohol use
alt,ALT,ALT
anemia,Anemia,Anemia
angina,Angina,Angina
bbb,BBB,Bundle branch block
aortic_regurg,AR,Aortic regurgitation
aortic_stenosis,AS,Aortic stenosis
af,AF/FLU,Atrial fibrillation/flutter
af_admit,AF on admit,Atrial fibrillation on admit
bmi,BMI,BMI
bmi_val,"BMI, kg/m2",BMI value
bnp,BNP,BNP
bnp_val,"BNP, pg/ml",BNP value
bsa,"BSA, m2",Body surface area
bun,"BUN, mg/dL",BUN
crt,CRT,Cardiac resynchronization therapy
cm_etiol,CM etiology,Cardiomyopathy etiology
ckd,CKD,Chronic kidney disease stage
copd,COPD,COPD
cad,CAD,Coronary artery disease
crcl,CrCl,Creatinine clearance
crcl_30,CrCl < 30,Creatinine clearance < 30
cr_val,"Creatinine, mg/dL","Creatinine, mg/dL"
cur_smoke,Active smoker,Current smoker
dm,DM,Diabetes mellitus
dbp_cat,DBP,Diastolic blood pressure
dbp_val,"DBP, mm Hg",Diastolic blood pressure value
dd,Diastolic dysfunction,Diastolic dysfunction
hf_dur,HF dur,Duration of heart failure
hf_dur_val,"HF dur, yrs",Duration of heart failure value
edema,Edema,Edema
eprime,e',E prime
eprime_lat,e' lateral abnormal,E prime lateral
eprime_lat_val,e' lateral,E prime lateral value
eprime_med,e' septal abnormal,E prime septal
eprime_med_val,e' septal,E prime septal value
