study,studyvisit,study_wks
ATHENA,BASE,0
ATHENA,RAND,0
ATHENA,24H,0.1
ATHENA,48H,0.2
ATHENA,72H,0.3
ATHENA,96H,0.4
ATHENA,DISCHRGE,1
ATHENA,DAY30,4
BEST,1,0
BEST,2,1
BEST,BASELINE,0
BEST,30,12
BEST,60,24
BEST,120,52
BEST,180,78
BEST,240,104
BEST,300,130
BEST,360,156
BEST,420,182
CARRESS,BASELINE,0
CARRESS,DAY1,0.1
CARRESS,DAY2,0.2
CARRESS,DAY3,0.3
CARRESS,DAY4,0.4
CARRESS,DAY5,0.5
CARRESS,DAY6,0.6
CARRESS,DAY7,1
CARRESS,DAY30,4
CARRESS,DAY60,8
CORONA,BASE,0
DIG,0,0
DIG,1,4
DIG,4,12
DIG,12,52
DOSE,1,0
DOSE,BASELINE,0
DOSE,2,0.025
DOSE,3,0.05
DOSE,6HOUR,0.025
DOSE,12HOUR,0.05
DOSE,4,0.1
DOSE,24HOUR,0.1
DOSE,5,0.2
DOSE,48HOUR,0.2
DOSE,6,0.3
DOSE,72HOUR,0.3
DOSE,7,0.4
DOSE,96HOUR,0.4
DOSE,DAY7,1
DOSE,DAY30,4
DOSE,DAY60,8
ESCAPE,Baseline,0
ESCAPE,DAY0,0
ESCAPE,TIME0,0.5
ESCAPE,DAY1,0.1
ESCAPE,DAY2,0.2
ESCAPE,DAY3,0.3
ESCAPE,DAY4,0.4
ESCAPE,DAY5,0.5
ESCAPE,DAY6,0.6
ESCAPE,DAY7,1
ESCAPE,DAYLAST,1
ESCAPE,Discharge,1
ESCAPE,TIME1,1
ESCAPE,2-Week Follow-Up,2
ESCAPE,1-Month Follow-Up,4
ESCAPE,2-Month Follow-Up,8
ESCAPE,3-Month Follow-Up,12
ESCAPE,TIME2,12
ESCAPE,6-Month Follow-Up,24
EXACT,BASELINE,0
EXACT,WEEK 4,4
EXACT,WEEK 12,12
EXACT,WEEK 24,24
FIGHT,BASE,0
FIGHT,D30,4
FIGHT,DAY30,4
FIGHT,D60,8
FIGHT,DAY60,8
FIGHT,D90,12
FIGHT,DAY90,12
FIGHT,D180,24
FIGHT,DAY180,24
