phenotype,brief_name,var_type,dist_function,default_rank,default_text
A wave value,awave,continuous,gaussian(),,
A1c value,ha1c,continuous,gaussian(),,
Abdominal obesity,obese_waist,categorical,multinomial('identity'),,
Able to cope with problems (frailty),cope_frailty,continuous,gaussian(),0,No
Activities of daily living score,adl_score,continuous,gaussian(),,
Activity index (frailty),activity_frailty,continuous,gaussian(),,
Adiponectin,adpnctn,continuous,gaussian(),,
Adviser (ESSI),essi_advice,continuous,gaussian(),,
Age - father,age_father,continuous,gaussian(),,
Age - mother,age_mother,continuous,gaussian(),,
Age at birth 2,age_child2,continuous,gaussian(),,
Age at birth 3,age_child3,continuous,gaussian(),,
Age at birth 4,age_child4,continuous,gaussian(),,
Age at birth 5,age_child5,continuous,gaussian(),,
Age at death - father,deathage_father,categorical,multinomial('identity'),,
Age at death - mother,deathage_mother,continuous,gaussian(),,
Age at first birth,age_firstbirth,continuous,gaussian(),,
Age at first birth,age_birth1,continuous,gaussian(),,
Age at hysterectomy,age_hysterectomy,continuous,gaussian(),,
Age at last birth,age_lastbirth,continuous,gaussian(),,
Age at menarche,age_menarche,continuous,gaussian(),,
Age at menopause,age_menopause,continuous,gaussian(),,
Age at tubal ligation,age_btl,continuous,gaussian(),,
Age category,age_cat,continuous,gaussian(),,
Age of menarche,age_menarche,continuous,gaussian(),,
Age started HRT,age_hrt_start,continuous,gaussian(),,
Age stopped HRT,age_hrt_stop,continuous,gaussian(),,
Age value,age_val,continuous,gaussian(),,
Age when ovaries removed,age_oophorectomy,continuous,gaussian(),,
Age when started birth control pills,age_ocp_start,continuous,gaussian(),,
Age when stopped birth control pills,age_ocp_stop,continuous,gaussian(),,
Alcohol use,etoh,categorical,multinomial('identity'),,
Aldosterone-renin ratio,aldo_renin,continuous,gaussian(),,
Ambulation (frailty),ambulate_frailty,continuous,gaussian(),,
Anemia,anemia,categorical,multinomial('identity'),,
Angina,angina,categorical,multinomial('identity'),,
Anxiety (Spielberger),anx_spielberger,categorical,multinomial('identity'),,
Any children,any_children,categorical,multinomial('identity'),,
Any live births,any_live_births,categorical,multinomial('identity'),,
Aortic regurgitation,aortic_regurg,categorical,multinomial('identity'),,
ARIC physical activity index,aric_pai,continuous,gaussian(),,
