phenotype,brief_name,var_type,dist_function,default_rank,default_text,category,longitudinal
Absolute lymphocyte count,alc,continuous,gaussian(),,,lab,Y
Absolute neutrophil count,anc,continuous,gaussian(),,,lab,Y
Age category,age_cat,categorical,multinomial('identity'),,,demo,
Age value,age_val,continuous,gaussian(),,,demo,Y
Albumin value,albumin,continuous,gaussian(),,,lab,Y
Alcohol use,etoh,categorical,multinomial('identity'),1,No,comorbid,
ALT,alt,categorical,multinomial('identity'),,,lab,
AST value,ast,continuous,gaussian(),,,lab,Y
Anemia,anemia,categorical,multinomial('identity'),,,comorbid,Y
Angina,angina,categorical,multinomial('identity'),1,No,comorbid,
Anxiety,anx,categorical,multinomial('identity'),1,No,comorbid,
STAI-Y1 score,staiy1,continuous,gaussian(),,,pro,
Any BBB,bbb,categorical,multinomial('identity'),1,No,comorbid,
Aortic regurgitation,aortic_regurg,categorical,multinomial('identity'),1,No,comorbid,
Aortic regurgitation - echo,aortic_regurg_echo,categorical,multinomial('identity'),,,imaging,
Aortic stenosis,aortic_stenosis,categorical,multinomial('identity'),1,No,comorbid,
Aortic stenosis - echo,aortic_stenosis_echo,categorical,multinomial('identity'),,,imaging,
Arterial elastance index,elastance_ix,continuous,gaussian(),,,imaging,Y
Arterial elastance PAC,elastance_PAC,continuous,gaussian(),,,imaging,Y
Atrial fibrillation on admit,af_admit,categorical,multinomial('identity'),1,No,comorbid,
Atrial fibrillation type,af_type,categorical,multinomial('identity'),,,comorbid,
Atrial fibrillation/flutter,af,categorical,multinomial('identity'),1,No,comorbid,
BMI,bmi,categorical,multinomial('identity'),,,exam,
BMI value,bmi_val,continuous,gaussian(),,,exam,Y
BNP,bnp,categorical,multinomial('identity'),,,lab,
BNP value,bnp_val,continuous,gaussian(),,,lab,Y
Body surface area,bsa,continuous,gaussian(),,,exam,Y
BUN,bun,categorical,multinomial('identity'),,,lab,
BUN value,bun_val,continuous,gaussian(),,,lab,Y
Cancer,cancer,categorical,multinomial('identity'),1,No,comorbid,
Cardiac resynchronization therapy,crt,categorical,multinomial('identity'),1,No,procedure,
Cardiomyopathy etiology,cm_etiology,categorical,multinomial('identity'),,,hfchar,
CES-D10 score,cesd10,continuous,gaussian(),,,pro,Y
CES-D20 score,cesd20,continuous,gaussian(),,,pro,Y
Chloride value,cl,continuous,gaussian(),,,lab,Y
Chronic kidney disease stage,ckd,categorical,multinomial('identity'),,,comorbid,Y
COPD,copd,categorical,multinomial('identity'),1,No,comorbid,
Coronary artery disease,cad,categorical,multinomial('identity'),1,No,comorbid,
Country,country,categorical,multinomial('identity'),,,demo,
Creatinine clearance,crcl,continuous,gaussian(),,,lab,Y
Creatinine clearance < 30,crcl_30,categorical,multinomial('identity'),,,lab,
Creatinine value,cr_val,continuous,gaussian(),,,lab,Y
Current smoker,cur_smoke,categorical,multinomial('identity'),,,comorbid,
Depression,dep,categorical,multinomial('identity'),1,No,comorbid,
Diabetes mellitus,dm,categorical,multinomial('identity'),1,No,comorbid,
Diabetes mellitus type,dm_type,categorical,multinomial('identity'),1,Noninsulin dependent,comorbid,
Diastolic blood pressure,dbp,categorical,multinomial('identity'),,,exam,
Diastolic blood pressure value,dbp_val,continuous,gaussian(),,,exam,Y
Diastolic dysfunction,dd,categorical,multinomial('identity'),,,imaging,
Diastolic dysfunction Olmsted,dd_olm,categorical,multinomial('identity'),,,imaging,
Dopamine value,dopa_val,continuous,gaussian(),,,lab,Y
Duration of heart failure,hf_dur,categorical,multinomial('identity'),,,hfchar,
Duration of heart failure value,hf_dur_val,continuous,gaussian(),,,hfchar,Y
Dyspnea,dyspnea,categorical,multinomial('identity'),,,pro,Y
E prime,eprime,categorical,multinomial('identity'),,,imaging,
E prime lateral,eprime_lat,categorical,multinomial('identity'),,,imaging,
E prime lateral value,eprime_lat_val,continuous,gaussian(),,,imaging,Y
E prime septal,eprime_med,categorical,multinomial('identity'),,,imaging,
E prime septal value,eprime_med_val,continuous,gaussian(),,,imaging,Y
E wave value,ewave_val,continuous,gaussian(),,,imaging,Y
E/e prime avg,eeprime_avg,categorical,multinomial('identity'),,,imaging,
E/e prime avg value,eeprime_avg_val,continuous,gaussian(),,,imaging,Y
E/e prime lateral,eeprime_lat,categorical,multinomial('identity'),,,imaging,
E/e prime lateral value,eeprime_lat_val,continuous,gaussian(),,,imaging,Y
E/e prime medial,eeprime_med,categorical,multinomial('identity'),,,imaging,
E/e prime medial value,eeprime_med_val,continuous,gaussian(),,,imaging,Y
Edema,edema,categorical,multinomial('identity'),1,No,exam,Y
Education level,educ_level,categorical,multinomial('identity'),,,demo,
Education level simple,educ_level_simple,categorical,multinomial('identity'),,,demo,
Education level - spouse,educ_level_spouse,categorical,multinomial('identity'),,,demo,
